Counter.Register(290,130)	RAM(600,240)[0]	RAM(600,240)[1]	RAM(600,240)[2]	RAM(600,240)[3]	R
0000	0000 0000	0000 0000	0000 0000	0000 0000	0000 0000
0001	0000 0000	0000 0000	0000 0000	0000 0000	0000 1100
0010	0000 0000	0000 0000	0000 0000	0000 0000	1101 1100
0011	1101 1100	0000 0000	0000 0000	0000 0000	1101 1100
0100	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
0101	1101 1100	0000 0000	0000 0000	1101 1100	1101 0001
0110	1101 1100	0000 0000	0000 0000	1101 1100	0001 0001
0111	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
1000	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
1001	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
1010	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
1011	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
1100	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
1101	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
1110	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
1111	1101 1100	0000 0000	0000 0000	1101 1100	1101 1100
